Here is surprise
打眼  ,  1  ,  {'surprise': 0.9, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
开枪  ,  1  ,  {'sorrow': 0.8, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
大哭  ,  14  ,  {'sorrow': 0.79, 'anxiety': 0.06, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
悲哀  ,  63  ,  {'sorrow': 0.78, 'anxiety': 0.17, 'hate': 0.07, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
委曲  ,  4  ,  {'sorrow': 0.78, 'anxiety': 0.2, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
悲凉  ,  5  ,  {'sorrow': 0.78, 'anxiety': 0.1, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绝症  ,  4  ,  {'sorrow': 0.78, 'anxiety': 0.35, 'hate': 0.15, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
沉痛  ,  4  ,  {'sorrow': 0.78, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
泪流满面  ,  7  ,  {'sorrow': 0.77, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心寒  ,  3  ,  {'sorrow': 0.77, 'anxiety': 0.27, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心碎  ,  11  ,  {'sorrow': 0.77, 'anxiety': 0.21, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
凄惨  ,  3  ,  {'sorrow': 0.77, 'anxiety': 0.2, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
不如归去  ,  3  ,  {'sorrow': 0.77, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
滴血  ,  5  ,  {'sorrow': 0.76, 'anxiety': 0.28, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
悲怆  ,  5  ,  {'sorrow': 0.76, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
哭泣  ,  75  ,  {'sorrow': 0.75, 'anxiety': 0.23, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
悲伤  ,  74  ,  {'sorrow': 0.75, 'anxiety': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
致哀  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
苦命  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
遇难  ,  8  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
哭声  ,  11  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
悲观  ,  4  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
掉泪  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
一去不复返  ,  4  ,  {'sorrow': 0.75, 'anxiety': 0.42, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
唉声叹气  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.35, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
低谷  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心如刀割  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
丧生  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
落花流水  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
灰飞烟灭  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.3, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心冷  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.35, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
形同陌路  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
垂垂老矣  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
举目无亲  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
崩盘  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
抱头痛哭  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
冷寂  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
眼泪汪汪  ,  2  ,  {'sorrow': 0.75, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}

Here is love
夙兴夜寐  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
通宵达旦  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
强盛  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
国力  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
可乐  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
怡情  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
废寝忘食  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
匠心独具  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
湖光山色  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
雪中送炭  ,  1  ,  {'love': 1.0, 'joy': 1.0, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
发狂  ,  1  ,  {'love': 1.0, 'joy': 1.0, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绝世  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
沉鱼落雁  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
神州  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
力作  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
万岁  ,  2  ,  {'love': 1.0, 'expect': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
真迹  ,  1  ,  {'love': 1.0, 'surprise': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
国粹  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
雄辨  ,  1  ,  {'love': 1.0, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
国色天香  ,  2  ,  {'love': 0.95, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绝好  ,  2  ,  {'love': 0.95, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
驰名中外  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
品学兼优  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
扶助  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
爱侣  ,  2  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
风雨兼程  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
至亲  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
旁征博引  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
陪笑脸  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
多姿多彩  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
性幻想  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
仰慕者  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
干脆利落  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
奇葩  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
爱不释手  ,  4  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
坚贞不渝  ,  1  ,  {'love': 0.9, 'joy': 0.5, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
铭心刻骨  ,  2  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
国土  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
魄力  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
万众瞩目  ,  3  ,  {'love': 0.9, 'expect': 0.33, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
意趣  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
风云变幻  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
光彩夺目  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
护佑  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
香郁  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
神游  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
雄伟壮观  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
朝夕相处  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
盛放  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
眷念  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
千古不变  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
去救  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
奋不顾身  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
中了  ,  1  ,  {'love': 0.9, 'surprise': 0.9, 'expect': 0.8, 'joy': 0.7, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'hate': 0.0}
大大的  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心地  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
日夜  ,  1  ,  {'love': 0.9, 'joy': 0.8, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
爱带  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
信以为真  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
可亲  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
明目  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
吻痕  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
只要问心无愧  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
有福  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
广纳  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
富饶  ,  1  ,  {'love': 0.9, 'joy': 0.9, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
大好河山  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
泱泱  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
相扶  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
斯斯文文  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
风景如画  ,  1  ,  {'love': 0.9, 'joy': 0.6, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
水乳交融  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
良师益友  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
亲密无间  ,  2  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
浑然一体  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
膜拜  ,  3  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
皈依  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
妙笔生花  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
目不斜视  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
最酷  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
守侯  ,  1  ,  {'love': 0.9, 'expect': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
想入  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绝妙  ,  3  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
神来之笔  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
恩宠  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
欢颜  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
漂漂亮亮  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
举头  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
天人合一  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
参天大树  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
经久不衰  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心旷神怡之感  ,  1  ,  {'love': 0.9, 'joy': 0.8, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
有兰  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
坦诚相见  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
博大精深  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
赞不绝口  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
天之骄子  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
形影不  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
丝毫不逊于姚明的加索尔  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
殊死搏斗  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
五脏俱全  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
实用主义  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
至上  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
入神  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
