蹑手蹑脚  ,  3  ,  {'anxiety': 0.53, 'love': 0.17, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
帮忙  ,  18  ,  {'love': 0.26, 'joy': 0.21, 'expect': 0.06, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
数落  ,  3  ,  {'hate': 0.47, 'anger': 0.23, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
弃妇  ,  1  ,  {'sorrow': 0.9, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
山穷水尽  ,  3  ,  {'anxiety': 0.77, 'hate': 0.17, 'sorrow': 0.1, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
俊美  ,  4  ,  {'love': 0.7, 'joy': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
健将  ,  1  ,  {'love': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
高材生  ,  2  ,  {'love': 0.55, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
慈母  ,  1  ,  {'love': 0.5, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
爱女  ,  1  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
重创  ,  3  ,  {'sorrow': 0.43, 'anxiety': 0.2, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
失明  ,  3  ,  {'anxiety': 0.4, 'sorrow': 0.17, 'hate': 0.17, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
衰退  ,  9  ,  {'sorrow': 0.5, 'anxiety': 0.16, 'hate': 0.07, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
吸毒  ,  7  ,  {'hate': 0.54, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
万物之灵  ,  2  ,  {'love': 0.45, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
品学兼优  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
莫非  ,  3  ,  {'anxiety': 0.33, 'surprise': 0.1, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
失手  ,  3  ,  {'sorrow': 0.3, 'anxiety': 0.27, 'hate': 0.13, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
坎坷  ,  13  ,  {'anxiety': 0.71, 'sorrow': 0.06, 'love': 0.05, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
相助  ,  2  ,  {'love': 0.75, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
重新  ,  20  ,  {'joy': 0.21, 'expect': 0.21, 'love': 0.1, 'sorrow': 0.04, 'anxiety': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
走运  ,  1  ,  {'joy': 0.6, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
危急  ,  4  ,  {'anxiety': 0.5, 'sorrow': 0.25, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
扶助  ,  1  ,  {'love': 0.9, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
受惠人  ,  1  ,  {'joy': 0.7, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
幸运欣喜若狂  ,  1  ,  {'joy': 0.8, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
好心人  ,  2  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绝境  ,  8  ,  {'sorrow': 0.52, 'anxiety': 0.28, 'hate': 0.06, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
邂逅  ,  16  ,  {'joy': 0.46, 'love': 0.37, 'expect': 0.15, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
汇聚  ,  3  ,  {'joy': 0.63, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
偶遇  ,  3  ,  {'love': 0.6, 'joy': 0.17, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
不约而同  ,  8  ,  {'love': 0.28, 'joy': 0.17, 'expect': 0.12, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
相救  ,  1  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
一面之缘  ,  1  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
见义勇为  ,  2  ,  {'love': 0.6, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
回赠  ,  1  ,  {'love': 0.6, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
赠予  ,  2  ,  {'love': 0.65, 'joy': 0.35, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
有缘  ,  9  ,  {'love': 0.39, 'joy': 0.22, 'sorrow': 0.09, 'anxiety': 0.07, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
尽头  ,  8  ,  {'sorrow': 0.32, 'anxiety': 0.19, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
慈善  ,  25  ,  {'love': 0.56, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
行善  ,  2  ,  {'love': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
乐施  ,  1  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
刚巧  ,  1  ,  {'joy': 0.3, 'surprise': 0.3, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
友情  ,  76  ,  {'love': 0.58, 'joy': 0.26, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
伴随  ,  9  ,  {'love': 0.35, 'joy': 0.2, 'expect': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
物欲横流  ,  8  ,  {'hate': 0.48, 'anxiety': 0.32, 'anger': 0.09, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
居心叵测  ,  3  ,  {'hate': 0.83, 'anger': 0.23, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
虐待  ,  5  ,  {'hate': 0.64, 'anxiety': 0.16, 'anger': 0.16, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
悲哀  ,  63  ,  {'sorrow': 0.78, 'anxiety': 0.17, 'hate': 0.07, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
败笔  ,  3  ,  {'sorrow': 0.5, 'hate': 0.27, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
良知  ,  7  ,  {'love': 0.59, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
缥缈  ,  4  ,  {'love': 0.27, 'anxiety': 0.2, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
排斥  ,  11  ,  {'hate': 0.71, 'anxiety': 0.11, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
侵蚀  ,  10  ,  {'anxiety': 0.49, 'sorrow': 0.19, 'hate': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
糟蹋  ,  5  ,  {'hate': 0.44, 'anger': 0.24, 'anxiety': 0.14, 'sorrow': 0.12, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
玷污  ,  6  ,  {'hate': 0.45, 'sorrow': 0.25, 'anxiety': 0.22, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
侮辱  ,  13  ,  {'hate': 0.53, 'anger': 0.21, 'sorrow': 0.06, 'anxiety': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
切勿  ,  1  ,  {'expect': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
真爱  ,  45  ,  {'love': 0.75, 'joy': 0.18, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
来之不易  ,  3  ,  {'love': 0.5, 'anxiety': 0.23, 'joy': 0.23, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
敬请  ,  1  ,  {'expect': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
悲切  ,  1  ,  {'sorrow': 0.8, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
人去楼空  ,  4  ,  {'sorrow': 0.72, 'anxiety': 0.1, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
丑陋  ,  17  ,  {'hate': 0.56, 'anxiety': 0.18, 'sorrow': 0.07, 'anger': 0.05, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
低贱  ,  3  ,  {'hate': 0.7, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
肮脏  ,  10  ,  {'hate': 0.67, 'anxiety': 0.07, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
无耻  ,  12  ,  {'hate': 0.74, 'anger': 0.2, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
出卖  ,  9  ,  {'hate': 0.56, 'sorrow': 0.16, 'anger': 0.12, 'anxiety': 0.09, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
卑鄙  ,  5  ,  {'hate': 0.76, 'anger': 0.2, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
寻求  ,  13  ,  {'expect': 0.55, 'love': 0.16, 'joy': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
回心转意  ,  2  ,  {'expect': 0.45, 'love': 0.3, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
第三者  ,  7  ,  {'hate': 0.53, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
自尊  ,  29  ,  {'love': 0.61, 'joy': 0.09, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绿帽子  ,  1  ,  {'anger': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0, 'hate': 0.0}
默默无闻  ,  5  ,  {'love': 0.56, 'anxiety': 0.08, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
出轨  ,  6  ,  {'hate': 0.67, 'anger': 0.1, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'surprise': 0.0}
迷人  ,  23  ,  {'love': 0.7, 'joy': 0.03, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
一厢情愿  ,  7  ,  {'sorrow': 0.32, 'anxiety': 0.28, 'love': 0.24, 'expect': 0.09, 'joy': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
摧残  ,  7  ,  {'anxiety': 0.37, 'sorrow': 0.23, 'hate': 0.22, 'anger': 0.07, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
内疚  ,  9  ,  {'anxiety': 0.52, 'sorrow': 0.13, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
洒脱  ,  21  ,  {'love': 0.61, 'joy': 0.2, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
风度  ,  8  ,  {'love': 0.6, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
解脱  ,  22  ,  {'joy': 0.59, 'love': 0.15, 'expect': 0.08, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
惊涛骇浪  ,  1  ,  {'anxiety': 0.7, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
相伴  ,  23  ,  {'love': 0.47, 'joy': 0.23, 'expect': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
贵在  ,  1  ,  {'love': 0.3, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
回馈  ,  3  ,  {'love': 0.27, 'joy': 0.17, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
生日  ,  14  ,  {'love': 0.37, 'joy': 0.37, 'expect': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
耳光  ,  4  ,  {'hate': 0.38, 'anger': 0.22, 'sorrow': 0.2, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
愣住  ,  2  ,  {'surprise': 0.75, 'anxiety': 0.35, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
礼物  ,  58  ,  {'love': 0.52, 'joy': 0.19, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
人见人爱  ,  1  ,  {'love': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
稚嫩  ,  14  ,  {'love': 0.41, 'anxiety': 0.15, 'sorrow': 0.1, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
做错  ,  1  ,  {'anxiety': 0.6, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
约束  ,  9  ,  {'anxiety': 0.26, 'sorrow': 0.18, 'hate': 0.12, 'expect': 0.09, 'love': 0.0, 'joy': 0.0, 'anger': 0.0, 'surprise': 0.0}
懂事  ,  20  ,  {'love': 0.57, 'joy': 0.09, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
请教  ,  4  ,  {'expect': 0.32, 'love': 0.15, 'joy': 0.15, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
开窍  ,  2  ,  {'joy': 0.7, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
人才济济  ,  1  ,  {'joy': 0.4, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
厉害  ,  27  ,  {'love': 0.27, 'anxiety': 0.25, 'joy': 0.11, 'sorrow': 0.04, 'surprise': 0.03, 'hate': 0.02, 'expect': 0.0, 'anger': 0.0}
立足之地  ,  1  ,  {'expect': 0.3, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
过硬  ,  2  ,  {'love': 0.5, 'joy': 0.25, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
我打  ,  1  ,  {'sorrow': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
怎么会  ,  12  ,  {'anxiety': 0.36, 'surprise': 0.2, 'anger': 0.05, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'hate': 0.0}
投降  ,  5  ,  {'anxiety': 0.44, 'sorrow': 0.14, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
宝宝  ,  35  ,  {'love': 0.67, 'joy': 0.06, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
惦记  ,  12  ,  {'love': 0.34, 'anxiety': 0.19, 'expect': 0.1, 'joy': 0.06, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
多彩的  ,  5  ,  {'love': 0.46, 'joy': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
乘风破浪  ,  1  ,  {'joy': 0.8, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
亲亲  ,  3  ,  {'love': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
果然  ,  9  ,  {'joy': 0.38, 'surprise': 0.14, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
兴致  ,  5  ,  {'joy': 0.58, 'love': 0.22, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
吓坏  ,  4  ,  {'anxiety': 0.52, 'surprise': 0.28, 'sorrow': 0.25, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
真乖  ,  1  ,  {'love': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
纠正  ,  3  ,  {'anxiety': 0.2, 'joy': 0.13, 'expect': 0.13, 'love': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
艰巨  ,  4  ,  {'anxiety': 0.55, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
摸摸  ,  4  ,  {'love': 0.38, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
嘻嘻  ,  13  ,  {'joy': 0.5, 'anxiety': 0.02, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
理解  ,  96  ,  {'love': 0.39, 'joy': 0.25, 'expect': 0.01, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
心连心  ,  1  ,  {'love': 0.8, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
灰暗  ,  13  ,  {'sorrow': 0.32, 'anxiety': 0.22, 'hate': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
枯涩  ,  3  ,  {'anxiety': 0.47, 'sorrow': 0.43, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
苦涩  ,  22  ,  {'anxiety': 0.38, 'sorrow': 0.38, 'love': 0.04, 'hate': 0.04, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
撞死  ,  5  ,  {'anxiety': 0.62, 'sorrow': 0.28, 'hate': 0.14, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
所谓  ,  30  ,  {'hate': 0.36, 'anxiety': 0.11, 'sorrow': 0.08, 'anger': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
无所谓  ,  17  ,  {'joy': 0.16, 'sorrow': 0.08, 'anxiety': 0.07, 'hate': 0.06, 'love': 0.04, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
克制  ,  7  ,  {'anxiety': 0.53, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
自恋  ,  4  ,  {'hate': 0.25, 'love': 0.15, 'anxiety': 0.1, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
原谅  ,  26  ,  {'love': 0.37, 'joy': 0.12, 'sorrow': 0.06, 'anxiety': 0.05, 'expect': 0.03, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
懦弱  ,  23  ,  {'hate': 0.41, 'sorrow': 0.27, 'anxiety': 0.19, 'anger': 0.07, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
假意  ,  6  ,  {'hate': 0.57, 'anger': 0.18, 'sorrow': 0.07, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
维护  ,  31  ,  {'love': 0.34, 'expect': 0.19, 'joy': 0.13, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
苍白  ,  20  ,  {'anxiety': 0.52, 'sorrow': 0.21, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
自卑  ,  22  ,  {'anxiety': 0.65, 'sorrow': 0.48, 'hate': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
久违  ,  17  ,  {'love': 0.42, 'joy': 0.17, 'expect': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
陌生人  ,  11  ,  {'anxiety': 0.22, 'sorrow': 0.11, 'hate': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
偶然  ,  6  ,  {'surprise': 0.15, 'joy': 0.13, 'love': 0.1, 'hate': 0.1, 'expect': 0.02, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0}
重逢  ,  16  ,  {'joy': 0.59, 'love': 0.2, 'expect': 0.19, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
慨叹  ,  5  ,  {'anxiety': 0.46, 'sorrow': 0.1, 'surprise': 0.06, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
傻丫头  ,  3  ,  {'love': 0.4, 'anxiety': 0.2, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
日复一日  ,  6  ,  {'anxiety': 0.3, 'sorrow': 0.18, 'love': 0.12, 'hate': 0.08, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
孜孜不倦  ,  2  ,  {'love': 0.75, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
诙谐  ,  1  ,  {'love': 0.6, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
